Net Status Report
Filename     : F:\ÄÈÏËÎÌ\diplom\diplom.PcbDoc
Date         : 29.05.2023
Time         : 18:59:21
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetL6_2, Signal Layers Only, 15.8884mm
    NetR16_2, Signal Layers Only, 22.9915mm
    NetR17_2, Signal Layers Only, 15.7542mm
    NetR21_2, Signal Layers Only, 61.2789mm
    NetR24_2, Signal Layers Only, 85.4129mm
    NetR28_2, Signal Layers Only, 83.793mm
    NetR29_1, Signal Layers Only, 141.6579mm
    NetR2_1, Signal Layers Only, 10.1307mm
    NetR33_1, Signal Layers Only, 70.0156mm
    NetR36_1, Signal Layers Only, 122.5055mm
    NetR38_1, Signal Layers Only, 123.212mm
    NetR40_2, Signal Layers Only, 74.8791mm
    NetR42_1, Signal Layers Only, 93.2027mm
    NetR46_2, Signal Layers Only, 175.8645mm
    NetR47_2, Signal Layers Only, 149.0089mm
    NetR48_2, Signal Layers Only, 47.8735mm
    NetR49_2, Signal Layers Only, 137.5682mm
    NetR4_2, Signal Layers Only, 79.6724mm
    NetR51_2, Signal Layers Only, 107.7857mm
    NetR52_2, Signal Layers Only, 54.4801mm
    NetR53_2, Signal Layers Only, 44.6961mm
    NetR54_2, Signal Layers Only, 18.8667mm
    NetR56_2, Signal Layers Only, 51.6976mm
    NetR58_2, Signal Layers Only, 157.3516mm
    NetR59_2, Signal Layers Only, 55.4105mm
    NetR60_2, Signal Layers Only, 92.0304mm
    NetR61_2, Signal Layers Only, 78.6209mm
    NetR62_2, Signal Layers Only, 92.7909mm
    NetR63_2, Signal Layers Only, 54.7804mm
    NetR64_2, Signal Layers Only, 16.6166mm
    NetR65_2, Signal Layers Only, 111.1212mm
    NetR66_2, Signal Layers Only, 124.5361mm
    NetR67_2, Signal Layers Only, 80.0921mm
    NetR68_2, Signal Layers Only, 131.6376mm
    NetR69_2, Signal Layers Only, 100.503mm
    NetR70_2, Signal Layers Only, 187.9187mm
    NetR71_2, Signal Layers Only, 53.3355mm
    NetR72_2, Signal Layers Only, 75.0342mm
    NetR73_2, Signal Layers Only, 209.8796mm
    NetR74_2, Signal Layers Only, 72.2574mm
    NetR75_2, Signal Layers Only, 49.8304mm
    NetR76_2, Signal Layers Only, 40.8006mm
    NetR77_2, Signal Layers Only, 64.168mm
    NetR78_2, Signal Layers Only, 37.4959mm
    NetT1_1, Signal Layers Only, 43.0493mm
    NetT1_2, Signal Layers Only, 75.9548mm
    NetVT1_3, Signal Layers Only, 75.0111mm
    NetVT4_3, Signal Layers Only, 129.5783mm
    NetVT8_3, Signal Layers Only, 8.9842mm
count : 171
